2023-03-22 16:31:27,11,BENIGN,BENIGN
2023-03-22 16:31:28,11,BENIGN,BENIGN
2023-03-22 16:31:28,11,BENIGN,BENIGN
2023-03-22 16:31:28,11,BENIGN,BENIGN
2023-03-22 16:31:28,11,BENIGN,BENIGN
2023-03-22 16:31:28,11,BENIGN,BENIGN
2023-03-22 16:31:28,6,Bot,BENIGN
2023-03-22 16:31:28,11,BENIGN,BENIGN
2023-03-22 16:31:28,11,BENIGN,BENIGN
2023-03-22 16:31:28,6,Bot,BENIGN
2023-03-22 16:31:28,11,BENIGN,BENIGN
2023-03-22 16:31:28,11,BENIGN,BENIGN
2023-03-22 16:31:28,11,BENIGN,BENIGN
2023-03-22 16:31:28,6,Bot,Bot
2023-03-22 16:31:28,11,BENIGN,Bot
2023-03-22 16:31:28,6,Bot,Bot
2023-03-22 16:31:28,6,Bot,Bot
2023-03-22 16:31:28,6,Bot,Bot
2023-03-22 16:31:28,7,Web Attack � XSS,FTP-Patator
2023-03-22 16:31:28,2,SSH-Patator,FTP-Patator
2023-03-22 16:31:28,2,SSH-Patator,FTP-Patator
2023-03-22 16:31:28,2,SSH-Patator,FTP-Patator
2023-03-22 16:31:28,2,SSH-Patator,FTP-Patator
2023-03-22 16:31:28,5,DoS Hulk,SSH-Patator
2023-03-22 16:31:28,2,SSH-Patator,SSH-Patator
2023-03-22 16:31:28,2,SSH-Patator,SSH-Patator
2023-03-22 16:31:28,2,SSH-Patator,SSH-Patator
2023-03-22 16:31:28,2,SSH-Patator,SSH-Patator
2023-03-22 16:31:28,11,BENIGN,Infiltration
2023-03-22 16:31:28,5,DoS Hulk,Infiltration
2023-03-22 16:31:28,0,Infiltration,Infiltration
2023-03-22 16:31:28,2,SSH-Patator,Infiltration
2023-03-22 16:31:28,0,Infiltration,Infiltration
2023-03-22 16:31:29,11,BENIGN,DoS Slowhttptest
2023-03-22 16:31:29,1,DoS Slowhttptest,DoS Slowhttptest
2023-03-22 16:31:29,1,DoS Slowhttptest,DoS Slowhttptest
2023-03-22 16:31:29,1,DoS Slowhttptest,DoS Slowhttptest
2023-03-22 16:31:29,1,DoS Slowhttptest,DoS Slowhttptest
2023-03-22 16:31:29,2,SSH-Patator,DoS Hulk
2023-03-22 16:31:29,5,DoS Hulk,DoS Hulk
2023-03-22 16:31:29,2,SSH-Patator,DoS Hulk
2023-03-22 16:31:29,5,DoS Hulk,DoS Hulk
2023-03-22 16:31:29,5,DoS Hulk,DoS Hulk
2023-03-22 16:31:29,3,Web Attack � Brute Force,DoS GoldenEye
2023-03-22 16:31:29,9,DoS GoldenEye,DoS GoldenEye
2023-03-22 16:31:29,9,DoS GoldenEye,DoS GoldenEye
2023-03-22 16:31:29,5,DoS Hulk,DoS GoldenEye
2023-03-22 16:31:29,9,DoS GoldenEye,DoS GoldenEye
2023-03-22 16:31:29,9,DoS GoldenEye,PortScan
2023-03-22 16:31:29,2,SSH-Patator,PortScan
2023-03-22 16:31:29,11,BENIGN,PortScan
2023-03-22 16:31:29,2,SSH-Patator,PortScan
2023-03-22 16:31:29,7,Web Attack � XSS,PortScan
2023-03-22 16:31:29,10,DDoS,DDoS
2023-03-22 16:31:29,10,DDoS,DDoS
2023-03-22 16:31:29,10,DDoS,DDoS
2023-03-22 16:31:29,10,DDoS,DDoS
2023-03-22 16:31:29,10,DDoS,DDoS
